,DANE OCURRENCIA,TOTAL,DPNOM,MPIO,2005
0,11001,594,"Bogotá, D.C.","Bogotá, D.C.",6840116
1,13001,2101,Bolívar,Cartagena,893033
2,13006,2852,Bolívar,Achí,19644
3,13030,435,Bolívar,Altos del Rosario,11357
4,13042,789,Bolívar,Arenal,15414
5,13052,293,Bolívar,Arjona,60418
6,13062,170,Bolívar,Arroyohondo,8804
7,13074,557,Bolívar,Barranco de Loba,15148
8,13140,909,Bolívar,Calamar,20722
9,13160,833,Bolívar,Cantagallo,7811
10,13188,32,Bolívar,Cicuco,11094
11,13212,7365,Bolívar,Córdoba,13113
12,13222,266,Bolívar,Clemencia,11714
13,13244,10015,Bolívar,El Carmen de Bolívar,67963
14,13248,690,Bolívar,El Guamo,7826
15,13268,162,Bolívar,El Peñón,7807
16,13300,40,Bolívar,Hatillo de Loba,11470
17,13430,2350,Bolívar,Magangué,121481
18,13433,983,Bolívar,Mahates,22929
19,13440,15,Bolívar,Margarita,9406
20,13442,4334,Bolívar,María La Baja,45395
21,13458,3101,Bolívar,Montecristo,16973
22,13468,286,Bolívar,Mompós,41565
23,13473,1733,Bolívar,Morales,18523
24,13490,87,Bolívar,Norosí (1),0
25,13549,1022,Bolívar,Pinillos,22801
26,13580,209,Bolívar,Regidor,8796
27,13600,714,Bolívar,Río Viejo (1)(3),21060
28,13620,79,Bolívar,San Cristóbal,6561
29,13647,130,Bolívar,San Estanislao,15312
30,13650,14,Bolívar,San Fernando,12965
31,13654,3423,Bolívar,San Jacinto,21593
32,13655,487,Bolívar,San Jacinto del Cauca,10935
33,13657,5432,Bolívar,San Juan Nepomuceno,32514
34,13667,754,Bolívar,San Martín de Loba,14248
35,13670,3008,Bolívar,San Pablo,27010
36,13673,121,Bolívar,Santa Catalina,12058
37,13683,621,Bolívar,Santa Rosa,18195
38,13688,1251,Bolívar,Santa Rosa del Sur,34015
39,13744,1017,Bolívar,Simití,18418
40,13760,42,Bolívar,Soplaviento,8281
41,13780,72,Bolívar,Talaigua Nuevo,11086
42,13810,1862,Bolívar,Tiquisio,18786
43,13836,229,Bolívar,Turbaco,63057
44,13838,58,Bolívar,Turbaná,13493
45,13873,523,Bolívar,Villanueva,17576
46,13894,2780,Bolívar,Zambrano,11110
47,15001,45,Boyacá,Tunja,154066
48,15022,6,Boyacá,Almeida,2294
49,15047,59,Boyacá,Aquitania,16592
50,15087,10,Boyacá,Belén,9041
51,15090,18,Boyacá,Berbeo,1913
52,15097,26,Boyacá,Boavita,8796
53,15104,12,Boyacá,Boyacá,5074
54,15106,13,Boyacá,Briceño,2748
55,15109,10,Boyacá,Buenavista,5889
56,15131,3,Boyacá,Caldas,4050
57,15135,80,Boyacá,Campohermoso,4065
58,15172,21,Boyacá,Chinavita,3741
59,15176,22,Boyacá,Chiquinquirá,55797
60,15180,124,Boyacá,Chiscas,5372
61,15183,85,Boyacá,Chita,10844
62,15185,7,Boyacá,Chitaraque,6711
63,15212,8,Boyacá,Coper,4201
64,15218,40,Boyacá,Covarachía,3324
65,15223,12,Boyacá,Cubará,6614
66,15236,8,Boyacá,Chivor,2232
67,15238,13,Boyacá,Duitama,107417
68,15244,43,Boyacá,El Cocuy,5582
69,15248,65,Boyacá,El Espino,3997
70,15293,14,Boyacá,Gachantivá,3085
71,15296,3,Boyacá,Gameza,5669
72,15299,17,Boyacá,Garagoa,16520
73,15317,13,Boyacá,Guacamayas,2132
74,15322,17,Boyacá,Guateque,10171
75,15325,27,Boyacá,Guayatá,6368
76,15332,37,Boyacá,Güicán,7869
77,15362,10,Boyacá,Iza,2116
78,15368,32,Boyacá,Jericó,4716
79,15377,140,Boyacá,Labranzagrande,5345
80,15401,2,Boyacá,La Victoria,1674
81,15403,14,Boyacá,La Uvita,3621
82,15425,38,Boyacá,Macanal,4705
83,15442,42,Boyacá,Maripí,7914
84,15455,102,Boyacá,Miraflores,9661
85,15464,4,Boyacá,Mongua,5264
86,15469,5,Boyacá,Moniquirá,21852
87,15476,5,Boyacá,Motavita,6772
88,15480,47,Boyacá,Muzo,10237
